unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,status,borough,incident_zip,location_type,latitude,longitude,hours_to_close,hour,day_of_week,month,season
59928411,2024-01-04 06:30:20,2024-01-04 08:16:23,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Closed,BROOKLYN,11223,Street/Sidewalk,40.60180880332744,-73.98332668414854,1.7675,6,Thursday,1,Winter
59895838,2024-01-01 10:56:01,2024-01-01 15:45:36,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Closed,BROOKLYN,11235,Street/Sidewalk,40.58831583066575,-73.94807833298059,4.826388888888889,10,Monday,1,Winter
59922068,2024-01-04 04:02:10,2024-01-04 04:02:22,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Unspecified,BRONX,10458,Street/Sidewalk,40.86414252439902,-73.8933398154086,0.0033333333333333335,4,Thursday,1,Winter
59928206,2024-01-04 22:04:22,2024-01-12 13:38:20,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Closed,MANHATTAN,10034,Sidewalk,40.86381231443587,-73.92337656913543,183.5661111111111,22,Thursday,1,Winter
59949725,2024-01-06 05:13:08,2024-02-02 02:02:27,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,Closed,BROOKLYN,11207,RESIDENTIAL BUILDING,40.66603897748475,-73.89144696746713,644.8219444444444,5,Saturday,1,Winter
59933485,2024-01-05 10:02:18,2024-01-05 10:28:41,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Closed,BROOKLYN,11216,Street/Sidewalk,40.68108726828097,-73.95548015830848,0.43972222222222224,10,Friday,1,Winter
59918480,2024-01-03 12:26:03,2024-02-09 18:27:19,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,Closed,BROOKLYN,11226,RESIDENTIAL BUILDING,40.65371975060685,-73.95722110963472,894.0211111111112,12,Wednesday,1,Winter
59932801,2024-01-05 20:09:15,2024-01-06 22:29:28,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,Closed,MANHATTAN,10034,RESIDENTIAL BUILDING,40.87188625692909,-73.91799422212837,26.336944444444445,20,Friday,1,Winter
59926775,2024-01-04 08:39:48,,DHS,Department of Homeless Services,Homeless Person Assistance,Unspecified,Closed,MANHATTAN,10036,Store/Commercial,40.75755025932459,-73.985695282159,,8,Thursday,1,Winter
59911680,2024-01-03 13:55:27,2024-06-09 16:28:05,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,Closed,BROOKLYN,11211,RESIDENTIAL BUILDING,40.71426795449129,-73.94708562769713,3794.543888888889,13,Wednesday,1,Winter
59941677,2024-01-05 20:49:36,2024-01-05 22:00:32,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Closed,BROOKLYN,11221,Street/Sidewalk,40.69050332813972,-73.92631985293163,1.1822222222222223,20,Friday,1,Winter
59902365,2024-01-02 08:19:34,2024-02-21 00:00:00,DOB,Department of Buildings,General Construction/Plumbing,Debris - Excessive,Closed,BROOKLYN,11234,Unspecified,40.61960665343003,-73.92797223396016,1191.673888888889,8,Tuesday,1,Winter
59922528,2024-01-05 01:37:21,2024-01-05 03:15:51,NYPD,New York City Police Department,Blocked Driveway,No Access,Closed,QUEENS,11103,Street/Sidewalk,40.75908687936709,-73.91115202966044,1.6416666666666666,1,Friday,1,Winter
59926427,2024-01-04 13:02:16,2024-04-23 16:32:42,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,Closed,QUEENS,11377,RESIDENTIAL BUILDING,40.74345920303205,-73.90881992859227,2643.507222222222,13,Thursday,1,Winter
59910855,2024-01-02 19:34:02,2024-01-22 10:07:40,DOT,Department of Transportation,Curb Condition,Broken Curb,Closed,QUEENS,11362,Sidewalk,40.76122741166545,-73.72611207543773,470.56055555555554,19,Tuesday,1,Winter
59897566,2024-01-01 22:47:58,2024-01-01 23:15:55,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Closed,MANHATTAN,10036,Store/Commercial,40.76140162752549,-73.99045214070179,0.4658333333333333,22,Monday,1,Winter
59935496,2024-01-05 16:37:03,2024-01-06 17:37:21,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,Closed,BROOKLYN,11221,RESIDENTIAL BUILDING,40.68749330986512,-73.9236368751394,25.005,16,Friday,1,Winter
59927637,2024-01-04 07:11:04,2024-01-04 09:58:46,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,Closed,MANHATTAN,10040,RESIDENTIAL BUILDING,40.85663150995531,-73.93101599384384,2.795,7,Thursday,1,Winter
59940673,2024-01-05 21:38:47,2024-01-05 22:10:25,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Closed,QUEENS,11373,Residential Building/House,40.74829659827454,-73.87494941017859,0.5272222222222223,21,Friday,1,Winter
59905511,2024-01-02 19:10:14,2024-04-26 06:42:19,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,Closed,BRONX,10467,RESIDENTIAL BUILDING,40.88377588588214,-73.86270613110861,2747.534722222222,19,Tuesday,1,Winter
